unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496196.6303244,65,19.3553,1779496196.610969,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.723544,66,12.2795,1779496196.7112644,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.8204925,67,8.7142,1779496196.8117783,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.9247816,68,12.5725,1779496196.912209,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.018791,69,6.1421,1779496197.0126488,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.1848295,70,71.898,1779496197.1129315,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.272451,71,58.9049,1779496197.213546,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.3554945,72,41.6119,1779496197.3138826,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.4499204,73,35.322,1779496197.4145985,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.5396142,74,24.5938,1779496197.5150204,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.6231647,75,7.8681,1779496197.6152966,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.729828,76,14.3685,1779496197.7154593,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.8233922,77,7.7698,1779496197.8156223,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.9322848,78,16.4211,1779496197.9158638,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.0580854,79,41.7922,1779496198.0162933,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.1604846,80,44.1058,1779496198.1163788,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.2409034,81,23.9871,1779496198.2169163,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.3324144,82,15.1196,1779496198.3172948,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.43488,83,17.2689,1779496198.4176111,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.5490773,84,31.0166,1779496198.5180607,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.6469784,85,28.5797,1779496198.6183987,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.7312198,86,12.5575,1779496198.7186623,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.8414433,87,22.5687,1779496198.8188746,False,C1_control_only,C1_control_only,off,off,False,False
1779496198.9400449,88,20.7145,1779496198.9193304,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.0604146,89,40.7052,1779496199.0197093,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.1386175,90,18.7163,1779496199.1199012,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.2291455,91,8.8995,1779496199.220246,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.3491027,92,28.5714,1779496199.3205314,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.4411983,93,20.5748,1779496199.4206235,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.5327172,94,11.8868,1779496199.5208304,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.639181,95,18.0018,1779496199.621179,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.7329493,96,11.3904,1779496199.7215588,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.8382711,97,16.3047,1779496199.8219664,False,C1_control_only,C1_control_only,off,off,False,False
1779496199.931474,98,8.9798,1779496199.9224942,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.051274,99,28.4917,1779496200.0227823,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.1306667,100,7.5204,1779496200.1231463,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.2393484,101,15.5704,1779496200.223778,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.3477135,102,23.741,1779496200.3239725,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.4326606,103,8.5344,1779496200.4241261,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.5398233,104,15.5735,1779496200.5242498,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.6469648,105,22.4044,1779496200.6245604,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.7387855,106,14.0216,1779496200.7247639,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.843148,107,18.2695,1779496200.8248785,False,C1_control_only,C1_control_only,off,off,False,False
1779496200.9347897,108,9.6397,1779496200.92515,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.0453148,109,20.1066,1779496201.0252082,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.1833777,110,58.0399,1779496201.1253378,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.2449293,111,19.136,1779496201.2257934,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.3379292,112,11.6367,1779496201.3262925,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.4490635,113,22.634,1779496201.4264295,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.5394473,114,12.5659,1779496201.5268815,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.6411397,115,14.0707,1779496201.627069,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.7422578,116,14.924,1779496201.7273338,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.8438728,117,16.1519,1779496201.8277209,False,C1_control_only,C1_control_only,off,off,False,False
1779496201.9408221,118,12.6557,1779496201.9281664,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.050064,119,21.6367,1779496202.0284274,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.1450398,120,16.2036,1779496202.1288362,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.247137,121,17.5591,1779496202.229578,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.342406,122,12.6488,1779496202.3297572,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.4577305,123,27.3752,1779496202.4303553,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.5443096,124,13.2229,1779496202.5310867,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.6373277,125,6.0592,1779496202.6312685,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.7462847,126,14.7827,1779496202.731502,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.853324,127,21.445,1779496202.831879,False,C1_control_only,C1_control_only,off,off,False,False
1779496202.9489682,128,16.5646,1779496202.9324036,False,C1_control_only,C1_control_only,off,off,False,False
1779496203.053885,129,21.2858,1779496203.0325992,False,C1_control_only,C1_control_only,off,off,False,False
