unix_ts,event,topic,seq,test_id,condition,payload_bytes,active_camera_mode,active_lidar_mode,video_enabled,lidar_enabled,notes
1779492178.5907748,stat_pub,stat,-1,,,206,off,off,False,False,
1779492179.0913346,stat_pub,stat,-1,,,208,off,off,False,False,
1779492179.591905,stat_pub,stat,-1,,,207,off,off,False,False,
1779492180.0923305,stat_pub,stat,-1,,,208,off,off,False,False,
1779492180.5924459,stat_pub,stat,-1,,,208,off,off,False,False,
1779492181.0929399,stat_pub,stat,-1,,,208,off,off,False,False,
1779492181.5934887,stat_pub,stat,-1,,,208,off,off,False,False,
1779492182.0940943,stat_pub,stat,-1,,,208,off,off,False,False,
1779492182.594276,stat_pub,stat,-1,,,207,off,off,False,False,
1779492183.0947268,stat_pub,stat,-1,,,208,off,off,False,False,
1779492183.594997,stat_pub,stat,-1,,,207,off,off,False,False,
1779492184.0955055,stat_pub,stat,-1,,,208,off,off,False,False,
1779492184.5958445,stat_pub,stat,-1,,,208,off,off,False,False,
1779492185.0963707,stat_pub,stat,-1,,,208,off,off,False,False,
1779492185.596896,stat_pub,stat,-1,,,207,off,off,False,False,
1779492186.097131,stat_pub,stat,-1,,,207,off,off,False,False,
1779492186.5973766,stat_pub,stat,-1,,,208,off,off,False,False,
1779492187.0978067,stat_pub,stat,-1,,,208,off,off,False,False,
1779492187.5980318,stat_pub,stat,-1,,,208,off,off,False,False,
1779492188.09856,stat_pub,stat,-1,,,206,off,off,False,False,
1779492188.59879,stat_pub,stat,-1,,,207,off,off,False,False,
1779492189.0993772,stat_pub,stat,-1,,,209,off,off,False,False,
1779492189.5996401,stat_pub,stat,-1,,,209,off,off,False,False,
1779492190.100192,stat_pub,stat,-1,,,208,off,off,False,False,
1779492190.6007411,stat_pub,stat,-1,,,208,off,off,False,False,
1779492191.100952,stat_pub,stat,-1,,,207,off,off,False,False,
1779492191.6012714,stat_pub,stat,-1,,,208,off,off,False,False,
1779492192.1016958,stat_pub,stat,-1,,,209,off,off,False,False,
1779492192.6023235,stat_pub,stat,-1,,,209,off,off,False,False,
1779492193.1026616,stat_pub,stat,-1,,,209,off,off,False,False,
1779492193.6030192,stat_pub,stat,-1,,,209,off,off,False,False,
1779492194.1034558,stat_pub,stat,-1,,,209,off,off,False,False,
1779492194.6040175,stat_pub,stat,-1,,,209,off,off,False,False,
1779492195.10445,stat_pub,stat,-1,,,207,off,off,False,False,
1779492195.6048207,stat_pub,stat,-1,,,209,off,off,False,False,
1779492196.1052475,stat_pub,stat,-1,,,209,off,off,False,False,
1779492196.6057243,stat_pub,stat,-1,,,209,off,off,False,False,
1779492197.1058857,stat_pub,stat,-1,,,209,off,off,False,False,
1779492197.606279,stat_pub,stat,-1,,,208,off,off,False,False,
1779492198.1065729,stat_pub,stat,-1,,,209,off,off,False,False,
1779492198.606719,stat_pub,stat,-1,,,208,off,off,False,False,
1779492199.107247,stat_pub,stat,-1,,,208,off,off,False,False,
1779492199.6075425,stat_pub,stat,-1,,,209,off,off,False,False,
1779492200.107837,stat_pub,stat,-1,,,208,off,off,False,False,
1779492200.6084487,stat_pub,stat,-1,,,209,off,off,False,False,
1779492201.1089761,stat_pub,stat,-1,,,209,off,off,False,False,
1779492201.6095796,stat_pub,stat,-1,,,209,off,off,False,False,
1779492202.109886,stat_pub,stat,-1,,,208,off,off,False,False,
1779492202.61046,stat_pub,stat,-1,,,206,off,off,False,False,
1779492203.1110065,stat_pub,stat,-1,,,208,off,off,False,False,
1779492203.611406,stat_pub,stat,-1,,,208,off,off,False,False,
1779492204.1119165,stat_pub,stat,-1,,,209,off,off,False,False,
1779492204.612433,stat_pub,stat,-1,,,208,off,off,False,False,
1779492205.1127546,stat_pub,stat,-1,,,209,off,off,False,False,
1779492205.613001,stat_pub,stat,-1,,,208,off,off,False,False,
1779492206.113313,stat_pub,stat,-1,,,208,off,off,False,False,
1779492206.613792,stat_pub,stat,-1,,,208,off,off,False,False,
1779492207.1139195,stat_pub,stat,-1,,,209,off,off,False,False,
1779492207.614669,stat_pub,stat,-1,,,208,off,off,False,False,
1779492208.1153326,stat_pub,stat,-1,,,209,off,off,False,False,
1779492208.616309,stat_pub,stat,-1,,,208,off,off,False,False,
1779492209.1165013,stat_pub,stat,-1,,,209,off,off,False,False,
1779492209.6170034,stat_pub,stat,-1,,,209,off,off,False,False,
1779492210.117706,stat_pub,stat,-1,,,208,off,off,False,False,
1779492210.6178882,stat_pub,stat,-1,,,209,off,off,False,False,
1779492211.1187449,stat_pub,stat,-1,,,209,off,off,False,False,
1779492211.619213,stat_pub,stat,-1,,,208,off,off,False,False,
1779492212.120031,stat_pub,stat,-1,,,208,off,off,False,False,
1779492212.6208892,stat_pub,stat,-1,,,208,off,off,False,False,
1779492213.1218948,stat_pub,stat,-1,,,209,off,off,False,False,
1779492213.6225417,stat_pub,stat,-1,,,209,off,off,False,False,
1779492214.1228788,stat_pub,stat,-1,,,209,off,off,False,False,
1779492214.6230776,stat_pub,stat,-1,,,209,off,off,False,False,
1779492215.1235569,stat_pub,stat,-1,,,209,off,off,False,False,
1779492215.6242461,stat_pub,stat,-1,,,209,off,off,False,False,
1779492216.1251009,stat_pub,stat,-1,,,209,off,off,False,False,
1779492216.6258981,stat_pub,stat,-1,,,209,off,off,False,False,
1779492217.1265385,stat_pub,stat,-1,,,209,off,off,False,False,
1779492217.6272888,stat_pub,stat,-1,,,209,off,off,False,False,
1779492218.1274564,stat_pub,stat,-1,,,209,off,off,False,False,
1779492218.6280425,stat_pub,stat,-1,,,209,off,off,False,False,
1779492219.1284914,stat_pub,stat,-1,,,209,off,off,False,False,
1779492219.6291857,stat_pub,stat,-1,,,209,off,off,False,False,
1779492220.1295366,stat_pub,stat,-1,,,209,off,off,False,False,
1779492220.6301546,stat_pub,stat,-1,,,209,off,off,False,False,
1779492221.1310587,stat_pub,stat,-1,,,208,off,off,False,False,
1779492221.6313186,stat_pub,stat,-1,,,209,off,off,False,False,
1779492222.131923,stat_pub,stat,-1,,,208,off,off,False,False,
1779492222.6327503,stat_pub,stat,-1,,,209,off,off,False,False,
1779492223.133335,stat_pub,stat,-1,,,208,off,off,False,False,
1779492223.634288,stat_pub,stat,-1,,,208,off,off,False,False,
1779492224.135019,stat_pub,stat,-1,,,208,off,off,False,False,
1779492224.6360803,stat_pub,stat,-1,,,209,off,off,False,False,
1779492225.1363857,stat_pub,stat,-1,,,209,off,off,False,False,
1779492225.6371741,stat_pub,stat,-1,,,209,off,off,False,False,
1779492226.137867,stat_pub,stat,-1,,,208,off,off,False,False,
1779492226.6385357,stat_pub,stat,-1,,,209,off,off,False,False,
1779492227.1389954,stat_pub,stat,-1,,,209,off,off,False,False,
1779492227.6397076,stat_pub,stat,-1,,,209,off,off,False,False,
1779492228.140273,stat_pub,stat,-1,,,208,off,off,False,False,
1779492228.6408687,stat_pub,stat,-1,,,208,off,off,False,False,
1779492229.141887,stat_pub,stat,-1,,,209,off,off,False,False,
1779492229.6418395,stat_pub,stat,-1,,,209,off,off,False,False,
1779492230.1426575,stat_pub,stat,-1,,,209,off,off,False,False,
1779492230.6430876,stat_pub,stat,-1,,,209,off,off,False,False,
1779492231.144123,stat_pub,stat,-1,,,208,off,off,False,False,
1779492231.644672,stat_pub,stat,-1,,,208,off,off,False,False,
1779492232.14523,stat_pub,stat,-1,,,207,off,off,False,False,
1779492232.64606,stat_pub,stat,-1,,,207,off,off,False,False,
1779492233.1467927,stat_pub,stat,-1,,,209,off,off,False,False,
1779492233.6470892,stat_pub,stat,-1,,,209,off,off,False,False,
1779492234.1474714,stat_pub,stat,-1,,,209,off,off,False,False,
1779492234.6478283,stat_pub,stat,-1,,,209,off,off,False,False,
1779492235.14843,stat_pub,stat,-1,,,207,off,off,False,False,
1779492235.64883,stat_pub,stat,-1,,,207,off,off,False,False,
1779492236.1491377,stat_pub,stat,-1,,,209,off,off,False,False,
1779492236.6501746,stat_pub,stat,-1,,,209,off,off,False,False,
1779492237.15057,stat_pub,stat,-1,,,206,off,off,False,False,
1779492237.650952,stat_pub,stat,-1,,,207,off,off,False,False,
1779492238.1512697,stat_pub,stat,-1,,,208,off,off,False,False,
1779492238.6521208,stat_pub,stat,-1,,,209,off,off,False,False,
1779492239.1526272,stat_pub,stat,-1,,,209,off,off,False,False,
1779492239.6530392,stat_pub,stat,-1,,,209,off,off,False,False,
1779492240.153554,stat_pub,stat,-1,,,208,off,off,False,False,
1779492240.6540573,stat_pub,stat,-1,,,209,off,off,False,False,
1779492241.1548865,stat_pub,stat,-1,,,209,off,off,False,False,
1779492241.6558688,stat_pub,stat,-1,,,209,off,off,False,False,
1779492242.156695,stat_pub,stat,-1,,,208,off,off,False,False,
1779492242.657701,stat_pub,stat,-1,,,208,off,off,False,False,
1779492243.1582124,stat_pub,stat,-1,,,209,off,off,False,False,
1779492243.6589744,stat_pub,stat,-1,,,209,off,off,False,False,
1779492244.1597154,stat_pub,stat,-1,,,209,off,off,False,False,
1779492244.65996,stat_pub,stat,-1,,,207,off,off,False,False,
1779492245.1607342,stat_pub,stat,-1,,,208,off,off,False,False,
1779492245.6611943,stat_pub,stat,-1,,,208,off,off,False,False,
1779492246.16153,stat_pub,stat,-1,,,207,off,off,False,False,
1779492246.6619854,stat_pub,stat,-1,,,209,off,off,False,False,
1779492247.16256,stat_pub,stat,-1,,,207,off,off,False,False,
1779492247.6632392,stat_pub,stat,-1,,,209,off,off,False,False,
1779492248.1636424,stat_pub,stat,-1,,,209,off,off,False,False,
1779492248.6641233,stat_pub,stat,-1,,,209,off,off,False,False,
1779492249.164953,stat_pub,stat,-1,,,208,off,off,False,False,
1779492249.6652918,stat_pub,stat,-1,,,209,off,off,False,False,
1779492250.1659443,stat_pub,stat,-1,,,209,off,off,False,False,
1779492250.6661854,stat_pub,stat,-1,,,209,off,off,False,False,
1779492251.1673596,stat_pub,stat,-1,,,209,off,off,False,False,
1779492251.668076,stat_pub,stat,-1,,,208,off,off,False,False,
1779492252.1686666,stat_pub,stat,-1,,,209,off,off,False,False,
1779492252.6693373,stat_pub,stat,-1,,,209,off,off,False,False,
1779492253.16982,stat_pub,stat,-1,,,207,off,off,False,False,
1779492253.670206,stat_pub,stat,-1,,,208,off,off,False,False,
1779492254.1706898,stat_pub,stat,-1,,,208,off,off,False,False,
1779492254.6711128,stat_pub,stat,-1,,,208,off,off,False,False,
1779492255.171917,stat_pub,stat,-1,,,208,off,off,False,False,
1779492255.6723342,stat_pub,stat,-1,,,209,off,off,False,False,
1779492256.1725476,stat_pub,stat,-1,,,209,off,off,False,False,
1779492256.6730664,stat_pub,stat,-1,,,209,off,off,False,False,
1779492257.1738575,stat_pub,stat,-1,,,209,off,off,False,False,
1779492257.6742048,stat_pub,stat,-1,,,209,off,off,False,False,
1779492258.1745086,stat_pub,stat,-1,,,209,off,off,False,False,
1779492258.6747286,stat_pub,stat,-1,,,209,off,off,False,False,
1779492259.1751285,stat_pub,stat,-1,,,209,off,off,False,False,
1779492259.6753,stat_pub,stat,-1,,,206,off,off,False,False,
1779492260.175741,stat_pub,stat,-1,,,208,off,off,False,False,
1779492260.6759753,stat_pub,stat,-1,,,209,off,off,False,False,
1779492261.1765268,stat_pub,stat,-1,,,209,off,off,False,False,
1779492261.6771994,stat_pub,stat,-1,,,209,off,off,False,False,
1779492262.1774042,stat_pub,stat,-1,,,209,off,off,False,False,
1779492262.6777077,stat_pub,stat,-1,,,209,off,off,False,False,
1779492263.1782482,stat_pub,stat,-1,,,209,off,off,False,False,
1779492263.6785357,stat_pub,stat,-1,,,209,off,off,False,False,
1779492264.1787567,stat_pub,stat,-1,,,209,off,off,False,False,
