unix_ts,event,topic,seq,test_id,condition,payload_bytes,active_camera_mode,active_lidar_mode,video_enabled,lidar_enabled,notes
1779496195.7247293,ack_recv,latency_ack,56,C1_control_only,C1_control_only,89,off,off,False,False,rtt=17.11ms
1779496195.8226373,ack_recv,latency_ack,57,C1_control_only,C1_control_only,89,off,off,False,False,rtt=14.92ms
1779496195.9269423,ack_recv,latency_ack,58,C1_control_only,C1_control_only,89,off,off,False,False,rtt=19.10ms
1779496196.0167518,ack_recv,latency_ack,59,C1_control_only,C1_control_only,89,off,off,False,False,rtt=8.69ms
1779496196.1240187,ack_recv,latency_ack,60,C1_control_only,C1_control_only,89,off,off,False,False,rtt=15.44ms
1779496196.243099,ack_recv,latency_ack,61,C1_control_only,C1_control_only,89,off,off,False,False,rtt=33.96ms
1779496196.3263443,ack_recv,latency_ack,62,C1_control_only,C1_control_only,89,off,off,False,False,rtt=16.98ms
1779496196.417314,ack_recv,latency_ack,63,C1_control_only,C1_control_only,89,off,off,False,False,rtt=7.41ms
1779496196.524449,ack_recv,latency_ack,64,C1_control_only,C1_control_only,89,off,off,False,False,rtt=14.05ms
1779496196.6303244,ack_recv,latency_ack,65,C1_control_only,C1_control_only,89,off,off,False,False,rtt=19.36ms
1779496196.723544,ack_recv,latency_ack,66,C1_control_only,C1_control_only,89,off,off,False,False,rtt=12.28ms
1779496196.8204925,ack_recv,latency_ack,67,C1_control_only,C1_control_only,89,off,off,False,False,rtt=8.71ms
1779496196.9247816,ack_recv,latency_ack,68,C1_control_only,C1_control_only,89,off,off,False,False,rtt=12.57ms
1779496197.018791,ack_recv,latency_ack,69,C1_control_only,C1_control_only,89,off,off,False,False,rtt=6.14ms
1779496197.1848295,ack_recv,latency_ack,70,C1_control_only,C1_control_only,89,off,off,False,False,rtt=71.90ms
1779496197.272451,ack_recv,latency_ack,71,C1_control_only,C1_control_only,89,off,off,False,False,rtt=58.90ms
1779496197.3554945,ack_recv,latency_ack,72,C1_control_only,C1_control_only,89,off,off,False,False,rtt=41.61ms
1779496197.4499204,ack_recv,latency_ack,73,C1_control_only,C1_control_only,89,off,off,False,False,rtt=35.32ms
1779496197.5396142,ack_recv,latency_ack,74,C1_control_only,C1_control_only,89,off,off,False,False,rtt=24.59ms
1779496197.6231647,ack_recv,latency_ack,75,C1_control_only,C1_control_only,89,off,off,False,False,rtt=7.87ms
1779496197.729828,ack_recv,latency_ack,76,C1_control_only,C1_control_only,89,off,off,False,False,rtt=14.37ms
1779496197.8233922,ack_recv,latency_ack,77,C1_control_only,C1_control_only,89,off,off,False,False,rtt=7.77ms
1779496197.9322848,ack_recv,latency_ack,78,C1_control_only,C1_control_only,89,off,off,False,False,rtt=16.42ms
1779496198.0580854,ack_recv,latency_ack,79,C1_control_only,C1_control_only,89,off,off,False,False,rtt=41.79ms
1779496198.1604846,ack_recv,latency_ack,80,C1_control_only,C1_control_only,89,off,off,False,False,rtt=44.11ms
1779496198.2409034,ack_recv,latency_ack,81,C1_control_only,C1_control_only,89,off,off,False,False,rtt=23.99ms
1779496198.3324144,ack_recv,latency_ack,82,C1_control_only,C1_control_only,89,off,off,False,False,rtt=15.12ms
1779496198.43488,ack_recv,latency_ack,83,C1_control_only,C1_control_only,89,off,off,False,False,rtt=17.27ms
1779496198.5490773,ack_recv,latency_ack,84,C1_control_only,C1_control_only,89,off,off,False,False,rtt=31.02ms
1779496198.6469784,ack_recv,latency_ack,85,C1_control_only,C1_control_only,89,off,off,False,False,rtt=28.58ms
1779496198.7312198,ack_recv,latency_ack,86,C1_control_only,C1_control_only,89,off,off,False,False,rtt=12.56ms
1779496198.8414433,ack_recv,latency_ack,87,C1_control_only,C1_control_only,89,off,off,False,False,rtt=22.57ms
1779496198.9400449,ack_recv,latency_ack,88,C1_control_only,C1_control_only,89,off,off,False,False,rtt=20.71ms
1779496199.0604146,ack_recv,latency_ack,89,C1_control_only,C1_control_only,89,off,off,False,False,rtt=40.71ms
1779496199.1386175,ack_recv,latency_ack,90,C1_control_only,C1_control_only,89,off,off,False,False,rtt=18.72ms
1779496199.2291455,ack_recv,latency_ack,91,C1_control_only,C1_control_only,89,off,off,False,False,rtt=8.90ms
1779496199.3491027,ack_recv,latency_ack,92,C1_control_only,C1_control_only,89,off,off,False,False,rtt=28.57ms
1779496199.4411983,ack_recv,latency_ack,93,C1_control_only,C1_control_only,89,off,off,False,False,rtt=20.57ms
1779496199.5327172,ack_recv,latency_ack,94,C1_control_only,C1_control_only,89,off,off,False,False,rtt=11.89ms
1779496199.639181,ack_recv,latency_ack,95,C1_control_only,C1_control_only,89,off,off,False,False,rtt=18.00ms
1779496199.7329493,ack_recv,latency_ack,96,C1_control_only,C1_control_only,89,off,off,False,False,rtt=11.39ms
1779496199.8382711,ack_recv,latency_ack,97,C1_control_only,C1_control_only,89,off,off,False,False,rtt=16.30ms
1779496199.931474,ack_recv,latency_ack,98,C1_control_only,C1_control_only,89,off,off,False,False,rtt=8.98ms
1779496200.051274,ack_recv,latency_ack,99,C1_control_only,C1_control_only,89,off,off,False,False,rtt=28.49ms
1779496200.1306667,ack_recv,latency_ack,100,C1_control_only,C1_control_only,90,off,off,False,False,rtt=7.52ms
1779496200.2393484,ack_recv,latency_ack,101,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.57ms
1779496200.3477135,ack_recv,latency_ack,102,C1_control_only,C1_control_only,90,off,off,False,False,rtt=23.74ms
1779496200.4326606,ack_recv,latency_ack,103,C1_control_only,C1_control_only,90,off,off,False,False,rtt=8.53ms
1779496200.5398233,ack_recv,latency_ack,104,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.57ms
1779496200.6469648,ack_recv,latency_ack,105,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.40ms
1779496200.7387855,ack_recv,latency_ack,106,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.02ms
1779496200.843148,ack_recv,latency_ack,107,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.27ms
1779496200.9347897,ack_recv,latency_ack,108,C1_control_only,C1_control_only,90,off,off,False,False,rtt=9.64ms
1779496201.0453148,ack_recv,latency_ack,109,C1_control_only,C1_control_only,90,off,off,False,False,rtt=20.11ms
1779496201.1833777,ack_recv,latency_ack,110,C1_control_only,C1_control_only,90,off,off,False,False,rtt=58.04ms
1779496201.2449293,ack_recv,latency_ack,111,C1_control_only,C1_control_only,90,off,off,False,False,rtt=19.14ms
1779496201.3379292,ack_recv,latency_ack,112,C1_control_only,C1_control_only,90,off,off,False,False,rtt=11.64ms
1779496201.4490635,ack_recv,latency_ack,113,C1_control_only,C1_control_only,90,off,off,False,False,rtt=22.63ms
1779496201.5394473,ack_recv,latency_ack,114,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.57ms
1779496201.6411397,ack_recv,latency_ack,115,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.07ms
1779496201.7422578,ack_recv,latency_ack,116,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.92ms
1779496201.8438728,ack_recv,latency_ack,117,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.15ms
1779496201.9408221,ack_recv,latency_ack,118,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.66ms
1779496202.050064,ack_recv,latency_ack,119,C1_control_only,C1_control_only,90,off,off,False,False,rtt=21.64ms
1779496202.1450398,ack_recv,latency_ack,120,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.20ms
1779496202.247137,ack_recv,latency_ack,121,C1_control_only,C1_control_only,90,off,off,False,False,rtt=17.56ms
1779496202.342406,ack_recv,latency_ack,122,C1_control_only,C1_control_only,90,off,off,False,False,rtt=12.65ms
1779496202.4577305,ack_recv,latency_ack,123,C1_control_only,C1_control_only,90,off,off,False,False,rtt=27.38ms
1779496202.5443096,ack_recv,latency_ack,124,C1_control_only,C1_control_only,90,off,off,False,False,rtt=13.22ms
1779496202.6373277,ack_recv,latency_ack,125,C1_control_only,C1_control_only,90,off,off,False,False,rtt=6.06ms
1779496202.7462847,ack_recv,latency_ack,126,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.78ms
1779496202.8542917,ack_recv,latency_ack,127,C1_control_only,C1_control_only,90,off,off,False,False,rtt=21.45ms
1779496202.9489682,ack_recv,latency_ack,128,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.56ms
1779496203.053885,ack_recv,latency_ack,129,C1_control_only,C1_control_only,90,off,off,False,False,rtt=21.29ms
1779496203.1478817,ack_recv,latency_ack,130,C1_control_only,C1_control_only,90,off,off,False,False,rtt=14.74ms
1779496203.2393005,ack_recv,latency_ack,131,C1_control_only,C1_control_only,90,off,off,False,False,rtt=5.59ms
1779496203.3493395,ack_recv,latency_ack,132,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.44ms
1779496203.4589105,ack_recv,latency_ack,133,C1_control_only,C1_control_only,90,off,off,False,False,rtt=24.44ms
1779496203.551147,ack_recv,latency_ack,134,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.55ms
1779496203.6442778,ack_recv,latency_ack,135,C1_control_only,C1_control_only,90,off,off,False,False,rtt=9.62ms
1779496203.7519913,ack_recv,latency_ack,136,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.76ms
1779496203.8436375,ack_recv,latency_ack,137,C1_control_only,C1_control_only,90,off,off,False,False,rtt=7.59ms
1779496203.9524155,ack_recv,latency_ack,138,C1_control_only,C1_control_only,90,off,off,False,False,rtt=15.75ms
1779496204.044484,ack_recv,latency_ack,139,C1_control_only,C1_control_only,90,off,off,False,False,rtt=7.66ms
1779496204.1539154,ack_recv,latency_ack,140,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.85ms
1779496204.2836316,ack_recv,latency_ack,141,C1_control_only,C1_control_only,90,off,off,False,False,rtt=46.18ms
1779496204.4053347,ack_recv,latency_ack,142,C1_control_only,C1_control_only,90,off,off,False,False,rtt=67.61ms
1779496204.5094266,ack_recv,latency_ack,143,C1_control_only,C1_control_only,90,off,off,False,False,rtt=71.56ms
1779496204.6105711,ack_recv,latency_ack,144,C1_control_only,C1_control_only,90,off,off,False,False,rtt=72.13ms
1779496204.69619,ack_recv,latency_ack,145,C1_control_only,C1_control_only,90,off,off,False,False,rtt=57.39ms
1779496204.7807748,ack_recv,latency_ack,146,C1_control_only,C1_control_only,90,off,off,False,False,rtt=41.17ms
1779496204.867249,ack_recv,latency_ack,147,C1_control_only,C1_control_only,90,off,off,False,False,rtt=26.96ms
1779496204.9526825,ack_recv,latency_ack,148,C1_control_only,C1_control_only,90,off,off,False,False,rtt=11.56ms
1779496205.050101,ack_recv,latency_ack,149,C1_control_only,C1_control_only,90,off,off,False,False,rtt=8.18ms
1779496205.1589468,ack_recv,latency_ack,150,C1_control_only,C1_control_only,90,off,off,False,False,rtt=16.16ms
1779496205.2523236,ack_recv,latency_ack,151,C1_control_only,C1_control_only,90,off,off,False,False,rtt=9.02ms
1779496205.3619363,ack_recv,latency_ack,152,C1_control_only,C1_control_only,90,off,off,False,False,rtt=18.53ms
1779496205.4512558,ack_recv,latency_ack,153,C1_control_only,C1_control_only,90,off,off,False,False,rtt=6.95ms
