condition,samples_sent,samples_received,loss_percent,rtt_mean_ms,rtt_median_ms,rtt_min_ms,rtt_max_ms,rtt_p95_ms,rtt_p99_ms,jitter_std_ms
C1_control_only,1050,1050,0.0,22.535,16.62,3.443,303.566,58.103,117.425,23.38
C2_video_normal,1050,1050,0.0,20.202,15.871,3.633,111.473,55.257,76.845,15.238
C3_lidar_detail,1050,1050,0.0,19.63,15.654,3.617,121.902,55.453,86.735,15.908
C4_lidar_medium,1050,1050,0.0,22.682,17.3,3.308,156.367,63.6,93.491,19.004
C5_lidar_panorama,1050,1050,0.0,24.508,17.863,3.891,117.502,65.529,82.84,18.982
C6_full_detail,1050,1050,0.0,20.34,16.129,3.93,130.751,55.319,71.453,15.014
C7_full_panorama,1050,1050,0.0,25.079,17.604,3.557,118.671,71.874,83.862,19.786
